key,item_id,condition,kind,cell,persona_k,ent_bin,error,finish_reason,raw_text,rating,provider,model_requested,model_version,attempts,in_tok,out_tok,sent_at,persona_sent,system_sha256,user_sha256,rate_headers
134|White-Man#1,134,White-Man#1,persona,White-Man,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,874,2,2026-08-27T12:09:03.173161,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,92d13b96ec572ba7,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '988', 'x-ratelimit-reset-requests': '17m16.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5942', 'x-ratelimit-reset-tokens': '15.434s'}"
134|baseline#1,134,baseline#1,baseline,,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,838,2,2026-08-27T12:09:05.650325,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,92d13b96ec572ba7,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '987', 'x-ratelimit-reset-requests': '18m43.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5419', 'x-ratelimit-reset-tokens': '19.357s'}"
239|Asian-Woman#1,239,Asian-Woman#1,persona,Asian-Woman,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,870,2,2026-08-27T12:09:07.809563,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,9e07e17ebf511838,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '986', 'x-ratelimit-reset-requests': '20m9.6s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4837', 'x-ratelimit-reset-tokens': '23.722s'}"
239|Asian-Woman#2,239,Asian-Woman#2,persona,Asian-Woman,1,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,874,2,2026-08-27T12:09:09.982780,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,9e07e17ebf511838,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '985', 'x-ratelimit-reset-requests': '21m36s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4349', 'x-ratelimit-reset-tokens': '27.382s'}"
239|White-Man#1,239,White-Man#1,persona,White-Man,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,866,2,2026-08-27T12:09:12.895053,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,9e07e17ebf511838,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '984', 'x-ratelimit-reset-requests': '23m2.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3757', 'x-ratelimit-reset-tokens': '31.822s'}"
239|baseline#1,239,baseline#1,baseline,,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,830,2,2026-08-27T12:09:15.090225,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,9e07e17ebf511838,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '983', 'x-ratelimit-reset-requests': '24m28.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3206', 'x-ratelimit-reset-tokens': '35.955s'}"
274|Asian-Woman#1,274,Asian-Woman#1,persona,Asian-Woman,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,899,2,2026-08-27T12:09:17.307780,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,138720b137241311,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '982', 'x-ratelimit-reset-requests': '25m55.199s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '7099', 'x-ratelimit-reset-tokens': '6.757s'}"
274|Asian-Woman#2,274,Asian-Woman#2,persona,Asian-Woman,1,low,,stop,Unsure,Unsure,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,903,3,2026-08-27T12:10:00.964172,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,138720b137241311,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '981', 'x-ratelimit-reset-requests': '27m21.6s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '6480', 'x-ratelimit-reset-tokens': '11.4s'}"
274|White-Man#1,274,White-Man#1,persona,White-Man,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,895,2,2026-08-27T12:10:03.141190,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,138720b137241311,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '980', 'x-ratelimit-reset-requests': '28m48s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5871', 'x-ratelimit-reset-tokens': '15.967s'}"
274|baseline#1,274,baseline#1,baseline,,0,low,,stop,Yes,Yes,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,859,2,2026-08-27T12:10:05.368168,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,138720b137241311,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '979', 'x-ratelimit-reset-requests': '30m14.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5304', 'x-ratelimit-reset-tokens': '20.22s'}"
50|Asian-Woman#1,50,Asian-Woman#1,persona,Asian-Woman,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,1112,2,2026-08-27T12:10:07.554923,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,92f6dbb250ac5f40,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '978', 'x-ratelimit-reset-requests': '31m40.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4485', 'x-ratelimit-reset-tokens': '26.362s'}"
50|Asian-Woman#2,50,Asian-Woman#2,persona,Asian-Woman,1,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,1116,2,2026-08-27T12:10:09.821024,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,92f6dbb250ac5f40,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '977', 'x-ratelimit-reset-requests': '33m7.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3668', 'x-ratelimit-reset-tokens': '32.49s'}"
50|White-Man#1,50,White-Man#1,persona,White-Man,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,1108,2,2026-08-27T12:10:12.610009,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,92f6dbb250ac5f40,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '976', 'x-ratelimit-reset-requests': '34m33.6s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '2932', 'x-ratelimit-reset-tokens': '38.01s'}"
50|baseline#1,50,baseline#1,baseline,,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,1072,2,2026-08-27T12:10:14.851091,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,92f6dbb250ac5f40,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '975', 'x-ratelimit-reset-requests': '36m0s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '6926', 'x-ratelimit-reset-tokens': '8.055s'}"
51|Asian-Woman#1,51,Asian-Woman#1,persona,Asian-Woman,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,883,2,2026-08-27T12:11:01.051579,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,96fbc9439cc39410,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '974', 'x-ratelimit-reset-requests': '37m26.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '6331', 'x-ratelimit-reset-tokens': '12.517s'}"
51|Asian-Woman#2,51,Asian-Woman#2,persona,Asian-Woman,1,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,887,2,2026-08-27T12:11:03.211698,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,96fbc9439cc39410,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '973', 'x-ratelimit-reset-requests': '38m52.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5728', 'x-ratelimit-reset-tokens': '17.04s'}"
51|White-Man#1,51,White-Man#1,persona,White-Man,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,879,2,2026-08-27T12:11:05.357964,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,96fbc9439cc39410,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '972', 'x-ratelimit-reset-requests': '40m19.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5124', 'x-ratelimit-reset-tokens': '21.57s'}"
51|baseline#1,51,baseline#1,baseline,,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,843,2,2026-08-27T12:11:07.594938,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,96fbc9439cc39410,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '971', 'x-ratelimit-reset-requests': '41m45.6s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4563', 'x-ratelimit-reset-tokens': '25.777s'}"
68|Asian-Woman#1,68,Asian-Woman#1,persona,Asian-Woman,0,medium,,stop,Yes,Yes,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,909,2,2026-08-27T12:11:09.784367,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,94b13550987dd665,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '970', 'x-ratelimit-reset-requests': '43m12s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3942', 'x-ratelimit-reset-tokens': '30.435s'}"
68|Asian-Woman#2,68,Asian-Woman#2,persona,Asian-Woman,1,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,913,2,2026-08-27T12:11:11.997293,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,94b13550987dd665,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '969', 'x-ratelimit-reset-requests': '44m38.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3316', 'x-ratelimit-reset-tokens': '35.13s'}"
68|White-Man#1,68,White-Man#1,persona,White-Man,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,905,2,2026-08-27T12:11:14.225156,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,94b13550987dd665,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '968', 'x-ratelimit-reset-requests': '46m4.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '2696', 'x-ratelimit-reset-tokens': '39.78s'}"
68|baseline#1,68,baseline#1,baseline,,0,medium,,stop,Unsure,Unsure,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,869,3,2026-08-27T12:11:16.491468,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,94b13550987dd665,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '967', 'x-ratelimit-reset-requests': '47m31.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '7123', 'x-ratelimit-reset-tokens': '6.577s'}"
313|Asian-Woman#1,313,Asian-Woman#1,persona,Asian-Woman,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,878,2,2026-08-27T12:12:01.142144,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,db57acf8f33cdfee,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '966', 'x-ratelimit-reset-requests': '48m57.6s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '6542', 'x-ratelimit-reset-tokens': '10.935s'}"
313|Asian-Woman#2,313,Asian-Woman#2,persona,Asian-Woman,1,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,882,2,2026-08-27T12:12:03.371503,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,db57acf8f33cdfee,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '965', 'x-ratelimit-reset-requests': '50m24s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5953', 'x-ratelimit-reset-tokens': '15.352s'}"
313|White-Man#1,313,White-Man#1,persona,White-Man,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,874,2,2026-08-27T12:12:05.652905,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,db57acf8f33cdfee,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '964', 'x-ratelimit-reset-requests': '51m50.399s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5376', 'x-ratelimit-reset-tokens': '19.68s'}"
313|baseline#1,313,baseline#1,baseline,,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,838,2,2026-08-27T12:12:07.901688,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,db57acf8f33cdfee,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '963', 'x-ratelimit-reset-requests': '53m16.799s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4836', 'x-ratelimit-reset-tokens': '23.73s'}"
316|Asian-Woman#1,316,Asian-Woman#1,persona,Asian-Woman,0,medium,,stop,Unsure,Unsure,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,888,3,2026-08-27T12:12:10.151303,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,f901182d1bd0301d,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '962', 'x-ratelimit-reset-requests': '54m43.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4247', 'x-ratelimit-reset-tokens': '28.147s'}"
316|Asian-Woman#2,316,Asian-Woman#2,persona,Asian-Woman,1,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,892,2,2026-08-27T12:12:12.401110,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,f901182d1bd0301d,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '961', 'x-ratelimit-reset-requests': '56m9.6s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3650', 'x-ratelimit-reset-tokens': '32.625s'}"
316|White-Man#1,316,White-Man#1,persona,White-Man,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,884,2,2026-08-27T12:12:14.654998,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,f901182d1bd0301d,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '960', 'x-ratelimit-reset-requests': '57m36s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3064', 'x-ratelimit-reset-tokens': '37.019s'}"
316|baseline#1,316,baseline#1,baseline,,0,medium,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,848,2,2026-08-27T12:12:16.899445,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,f901182d1bd0301d,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '959', 'x-ratelimit-reset-requests': '59m2.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '7150', 'x-ratelimit-reset-tokens': '6.375s'}"
