item_id,harm_type,fine,coarse,degree_of_harm,safety_gold
346,Political,Politics & ideology,Politics & misinformation,Benign,Yes
37,"Gendered & Sexist,Political",Gender & sexuality,Identity-based harm,Benign,No
32,Political,Politics & ideology,Politics & misinformation,Benign,No
320,"Political,National/regional",Politics & ideology,Politics & misinformation,Extreme,Yes
43,Ageism,Other identity & bigotry,Identity-based harm,Extreme,No
328,Sexual,Violence & sexual content,"Health, safety & legality",Moderate,Yes
160,Racial,Race & ethnicity,Identity-based harm,Extreme,No
284,"Gendered & Sexist,Mental health/self harm",Gender & sexuality,Identity-based harm,Extreme,Yes
68,"Racial,Sexual",Race & ethnicity,Identity-based harm,Moderate,No
245,Racial,Race & ethnicity,Identity-based harm,Moderate,No
246,"Bigoted,National/regional",Other identity & bigotry,Identity-based harm,Extreme,No
263,Political,Politics & ideology,Politics & misinformation,Extreme,Yes
217,Regulated goods,"Crime, law & regulated goods","Health, safety & legality",Extreme,Yes
87,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,No
111,Political,Politics & ideology,Politics & misinformation,Benign,No
35,Racial,Race & ethnicity,Identity-based harm,Extreme,No
306,Racial,Race & ethnicity,Identity-based harm,Extreme,No
186,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
293,"Political,Environment/climate",Politics & ideology,Politics & misinformation,Benign,No
238,"Gendered & Sexist,Violent/Gory",Gender & sexuality,Identity-based harm,Extreme,No
3,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
63,"Political,Misinformation",Politics & ideology,Politics & misinformation,Extreme,Yes
241,Racial,Race & ethnicity,Identity-based harm,Extreme,No
295,"Political,Bigoted",Politics & ideology,Politics & misinformation,Extreme,No
27,Gendered & Sexist,Gender & sexuality,Identity-based harm,Debatable,Yes
326,Political,Politics & ideology,Politics & misinformation,Extreme,Yes
16,Racial,Race & ethnicity,Identity-based harm,Moderate,No
282,Religious,Other identity & bigotry,Identity-based harm,Moderate,Yes
237,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
299,Political,Politics & ideology,Politics & misinformation,Benign,Yes
156,"Gendered & Sexist,Personal",Gender & sexuality,Identity-based harm,Extreme,No
350,Criminal/carceral,"Crime, law & regulated goods","Health, safety & legality",Extreme,Yes
223,Wealth/Finance,Personal & financial,Other,Moderate,No
166,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
36,Political,Politics & ideology,Politics & misinformation,Benign,No
60,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,No
176,"LGBTQ+ & Homophobic,Violent/Gory",Gender & sexuality,Identity-based harm,Extreme,No
104,Political,Politics & ideology,Politics & misinformation,Moderate,No
137,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
93,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
164,"National/regional,Political,Misinformation",Other identity & bigotry,Identity-based harm,Moderate,Yes
197,National/regional,Other identity & bigotry,Identity-based harm,Extreme,Yes
100,"Political,Aggressive",Politics & ideology,Politics & misinformation,Moderate,No
103,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
117,Racial,Race & ethnicity,Identity-based harm,Benign,No
128,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
288,Personal,Personal & financial,Other,Moderate,No
292,Racial,Race & ethnicity,Identity-based harm,Extreme,No
327,Criminal/carceral,"Crime, law & regulated goods","Health, safety & legality",Moderate,No
14,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
2,Political,Politics & ideology,Politics & misinformation,Moderate,Yes
7,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
332,"Political,Misinformation",Politics & ideology,Politics & misinformation,Extreme,No
302,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
54,Ablist,Other identity & bigotry,Identity-based harm,Extreme,No
86,Religious,Other identity & bigotry,Identity-based harm,Moderate,Yes
28,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,Yes
51,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
216,Religious,Other identity & bigotry,Identity-based harm,Debatable,Yes
252,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,No
211,Drugs/alcohol,Health & substances,"Health, safety & legality",Extreme,No
12,"Aggressive,Sexual",Violence & sexual content,"Health, safety & legality",Extreme,No
152,Legal,"Crime, law & regulated goods","Health, safety & legality",Extreme,Yes
142,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,Yes
305,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
234,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
274,Miscellaneous,Miscellaneous,Other,Benign,No
155,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,No
116,Political,Politics & ideology,Politics & misinformation,Moderate,Yes
65,"Racial,Bigoted",Race & ethnicity,Identity-based harm,Extreme,Yes
206,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,No
215,Racial,Race & ethnicity,Identity-based harm,Extreme,No
106,Personal,Personal & financial,Other,Moderate,No
209,Misinformation,Misinformation,Politics & misinformation,Moderate,Yes
115,"Religious,Gendered & Sexist",Other identity & bigotry,Identity-based harm,Extreme,Yes
272,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,No
96,Political,Politics & ideology,Politics & misinformation,Extreme,Yes
94,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
314,Wealth/Finance,Personal & financial,Other,Moderate,No
333,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
121,Religious,Other identity & bigotry,Identity-based harm,Extreme,No
271,"Drugs/alcohol,Health",Health & substances,"Health, safety & legality",Extreme,No
82,Personal,Personal & financial,Other,Extreme,No
253,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
59,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
118,Religious,Other identity & bigotry,Identity-based harm,Moderate,Yes
114,Drugs/alcohol,Health & substances,"Health, safety & legality",Extreme,Yes
183,Mental health/self harm,Health & substances,"Health, safety & legality",Debatable,No
97,"Political,Aggressive",Politics & ideology,Politics & misinformation,Moderate,No
177,"Health,National/regional,Legal",Health & substances,"Health, safety & legality",Extreme,Yes
38,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
79,Racial,Race & ethnicity,Identity-based harm,Extreme,No
254,"Misinformation,Political",Misinformation,Politics & misinformation,Extreme,No
189,"Gendered & Sexist,Aggressive",Gender & sexuality,Identity-based harm,Extreme,No
70,"Health,Drugs/alcohol",Health & substances,"Health, safety & legality",Extreme,Yes
249,"Religious,Gendered & Sexist",Other identity & bigotry,Identity-based harm,Moderate,No
150,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
10,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
72,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
175,Political,Politics & ideology,Politics & misinformation,Extreme,Yes
315,"Political,Misinformation",Politics & ideology,Politics & misinformation,Extreme,No
167,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
90,"Political,Bigoted",Politics & ideology,Politics & misinformation,Extreme,Yes
33,"Health,Misinformation",Health & substances,"Health, safety & legality",Moderate,Yes
199,"Religious,Gendered & Sexist",Other identity & bigotry,Identity-based harm,Extreme,Yes
336,"Drugs/alcohol,Criminal/carceral",Health & substances,"Health, safety & legality",Extreme,No
146,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
317,"Political,Racial",Politics & ideology,Politics & misinformation,Moderate,No
283,Gendered & Sexist,Gender & sexuality,Identity-based harm,Moderate,No
324,Personal,Personal & financial,Other,Moderate,Yes
21,Racial,Race & ethnicity,Identity-based harm,Extreme,No
226,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,No
62,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,No
1,"Health,Misinformation",Health & substances,"Health, safety & legality",Benign,No
83,Health,Health & substances,"Health, safety & legality",Benign,No
316,Political,Politics & ideology,Politics & misinformation,Moderate,No
61,Personal,Personal & financial,Other,Debatable,Yes
313,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
338,Health,Health & substances,"Health, safety & legality",Moderate,No
277,Health,Health & substances,"Health, safety & legality",Benign,No
256,Gendered & Sexist,Gender & sexuality,Identity-based harm,Moderate,No
257,Ablist,Other identity & bigotry,Identity-based harm,Extreme,No
9,"Gendered & Sexist,Bigoted",Gender & sexuality,Identity-based harm,Extreme,No
213,Aggressive,Violence & sexual content,"Health, safety & legality",Debatable,No
259,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
345,Racial,Race & ethnicity,Identity-based harm,Extreme,No
242,Miscellaneous,Miscellaneous,Other,Extreme,No
221,"Political,Misinformation",Politics & ideology,Politics & misinformation,Moderate,Yes
157,"Racial,National/regional",Race & ethnicity,Identity-based harm,Extreme,Yes
289,"Regulated goods,Legal","Crime, law & regulated goods","Health, safety & legality",Extreme,Yes
329,Health,Health & substances,"Health, safety & legality",Extreme,Yes
214,Political,Politics & ideology,Politics & misinformation,Moderate,Yes
298,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
334,Political,Politics & ideology,Politics & misinformation,Debatable,No
22,"Racial,Political",Race & ethnicity,Identity-based harm,Moderate,No
198,Legal,"Crime, law & regulated goods","Health, safety & legality",Moderate,No
344,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
55,Racial,Race & ethnicity,Identity-based harm,Extreme,No
42,"Racial,Political",Race & ethnicity,Identity-based harm,Moderate,Yes
19,Gendered & Sexist,Gender & sexuality,Identity-based harm,Debatable,Yes
195,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,Yes
132,"Racial,National/regional",Race & ethnicity,Identity-based harm,Moderate,No
5,National/regional,Other identity & bigotry,Identity-based harm,Debatable,No
136,National/regional,Other identity & bigotry,Identity-based harm,Extreme,No
202,Racial,Race & ethnicity,Identity-based harm,Extreme,No
266,"Drugs/alcohol,Identity",Health & substances,"Health, safety & legality",Extreme,Yes
126,Miscellaneous,Miscellaneous,Other,Debatable,Yes
95,Legal,"Crime, law & regulated goods","Health, safety & legality",Moderate,No
233,Misinformation,Misinformation,Politics & misinformation,Extreme,Yes
260,Criminal/carceral,"Crime, law & regulated goods","Health, safety & legality",Extreme,Yes
262,Racial,Race & ethnicity,Identity-based harm,Extreme,No
144,Racial,Race & ethnicity,Identity-based harm,Extreme,No
247,Wealth/Finance,Personal & financial,Other,Moderate,No
322,Political,Politics & ideology,Politics & misinformation,Moderate,No
101,Misinformation,Misinformation,Politics & misinformation,Extreme,No
76,"Legal,Misinformation","Crime, law & regulated goods","Health, safety & legality",Extreme,Yes
264,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
109,Identity,Other identity & bigotry,Identity-based harm,Moderate,Yes
297,Political,Politics & ideology,Politics & misinformation,Moderate,Yes
67,Political,Politics & ideology,Politics & misinformation,Benign,Yes
286,Sexual,Violence & sexual content,"Health, safety & legality",Moderate,No
133,Gendered & Sexist,Gender & sexuality,Identity-based harm,Benign,No
250,"Racial,Gendered & Sexist",Race & ethnicity,Identity-based harm,Moderate,No
39,Sexual,Violence & sexual content,"Health, safety & legality",Extreme,No
31,Mental health/self harm,Health & substances,"Health, safety & legality",Moderate,No
8,"Racial,National/regional",Race & ethnicity,Identity-based harm,Extreme,Yes
270,"Regulated goods,National/regional","Crime, law & regulated goods","Health, safety & legality",Benign,Yes
47,"Gendered & Sexist,Personal",Gender & sexuality,Identity-based harm,Extreme,No
161,Ageism,Other identity & bigotry,Identity-based harm,Extreme,Yes
212,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,No
17,"Health,Misinformation",Health & substances,"Health, safety & legality",Moderate,No
15,Wealth/Finance,Personal & financial,Other,Extreme,Yes
339,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
134,"Identity,LGBTQ+ & Homophobic",Other identity & bigotry,Identity-based harm,Benign,No
280,Legal,"Crime, law & regulated goods","Health, safety & legality",Extreme,No
105,Sexual,Violence & sexual content,"Health, safety & legality",Extreme,Yes
296,Gendered & Sexist,Gender & sexuality,Identity-based harm,Moderate,Yes
80,"National/regional,Regulated goods",Other identity & bigotry,Identity-based harm,Benign,Yes
304,"Health,Drugs/alcohol",Health & substances,"Health, safety & legality",Moderate,No
168,National/regional,Other identity & bigotry,Identity-based harm,Extreme,Yes
74,Misinformation,Misinformation,Politics & misinformation,Moderate,No
268,Wealth/Finance,Personal & financial,Other,Moderate,Yes
348,Political,Politics & ideology,Politics & misinformation,Benign,No
139,Racial,Race & ethnicity,Identity-based harm,Extreme,No
279,"Gendered & Sexist,Identity",Gender & sexuality,Identity-based harm,Extreme,Yes
184,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
4,Wealth/Finance,Personal & financial,Other,Moderate,Yes
85,Drugs/alcohol,Health & substances,"Health, safety & legality",Extreme,Yes
50,Political,Politics & ideology,Politics & misinformation,Extreme,Yes
73,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,Yes
203,Racial,Race & ethnicity,Identity-based harm,Extreme,No
56,"Health,Misinformation",Health & substances,"Health, safety & legality",Moderate,No
330,Environment/climate,Politics & ideology,Politics & misinformation,Benign,Yes
227,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
26,Racial,Race & ethnicity,Identity-based harm,Benign,Yes
123,"Misinformation,Health,Political",Misinformation,Politics & misinformation,Extreme,Yes
88,Personal,Personal & financial,Other,Benign,No
78,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,No
191,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
40,Racial,Race & ethnicity,Identity-based harm,Extreme,No
181,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
113,Political,Politics & ideology,Politics & misinformation,Benign,No
281,"Regulated goods,Legal","Crime, law & regulated goods","Health, safety & legality",Extreme,No
311,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,No
204,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,Yes
141,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,No
89,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
171,"Legal,Misinformation","Crime, law & regulated goods","Health, safety & legality",Extreme,Yes
261,Misinformation,Misinformation,Politics & misinformation,Moderate,Yes
119,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
107,"Gendered & Sexist,Violent/Gory",Gender & sexuality,Identity-based harm,Extreme,No
41,"Racial,Political",Race & ethnicity,Identity-based harm,Benign,Yes
130,Miscellaneous,Miscellaneous,Other,Extreme,Yes
182,Drugs/alcohol,Health & substances,"Health, safety & legality",Extreme,Yes
229,"Racial,Political",Race & ethnicity,Identity-based harm,Extreme,Yes
318,Political,Politics & ideology,Politics & misinformation,Moderate,No
169,"Gendered & Sexist,Mental health/self harm",Gender & sexuality,Identity-based harm,Extreme,No
127,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
185,"Misinformation,Political",Misinformation,Politics & misinformation,Moderate,No
98,"Legal,Personal","Crime, law & regulated goods","Health, safety & legality",Moderate,No
187,Political,Politics & ideology,Politics & misinformation,Benign,Yes
108,"Misinformation,Health",Misinformation,Politics & misinformation,Extreme,No
188,Political,Politics & ideology,Politics & misinformation,Extreme,Yes
34,Political,Politics & ideology,Politics & misinformation,Benign,Yes
49,"Racial,Political",Race & ethnicity,Identity-based harm,Moderate,No
278,"Racial,Political",Race & ethnicity,Identity-based harm,Moderate,No
205,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Moderate,No
77,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,No
319,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,No
163,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,No
102,Political,Politics & ideology,Politics & misinformation,Moderate,Yes
224,Environment/climate,Politics & ideology,Politics & misinformation,Debatable,No
71,Racial,Race & ethnicity,Identity-based harm,Extreme,No
179,"Misinformation,Wealth/Finance",Misinformation,Politics & misinformation,Moderate,Yes
151,Religious,Other identity & bigotry,Identity-based harm,Extreme,Yes
312,Misinformation,Misinformation,Politics & misinformation,Extreme,No
154,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
149,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
347,"Abortion,Political",Politics & ideology,Politics & misinformation,Extreme,Yes
112,Political,Politics & ideology,Politics & misinformation,Debatable,No
201,Wealth/Finance,Personal & financial,Other,Benign,No
29,Political,Politics & ideology,Politics & misinformation,Moderate,No
147,Violent/Gory,Violence & sexual content,"Health, safety & legality",Extreme,Yes
170,Political,Politics & ideology,Politics & misinformation,Moderate,No
124,Racial,Race & ethnicity,Identity-based harm,Extreme,No
131,Racial,Race & ethnicity,Identity-based harm,Extreme,No
243,Health,Health & substances,"Health, safety & legality",Moderate,Yes
210,Bigoted,Other identity & bigotry,Identity-based harm,Extreme,No
232,Racial,Race & ethnicity,Identity-based harm,Moderate,No
309,"Abortion,Political",Politics & ideology,Politics & misinformation,Extreme,No
258,Criminal/carceral,"Crime, law & regulated goods","Health, safety & legality",Extreme,No
265,Religious,Other identity & bigotry,Identity-based harm,Benign,Yes
301,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Moderate,No
231,Aggressive,Violence & sexual content,"Health, safety & legality",Moderate,No
276,Criminal/carceral,"Crime, law & regulated goods","Health, safety & legality",Extreme,Yes
300,Racial,Race & ethnicity,Identity-based harm,Extreme,No
331,"Mental health/self harm,Health",Health & substances,"Health, safety & legality",Debatable,Yes
45,Wealth/Finance,Personal & financial,Other,Moderate,Yes
230,Misinformation,Misinformation,Politics & misinformation,Extreme,Yes
180,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
120,Personal,Personal & financial,Other,Moderate,No
269,"Misinformation,Political",Misinformation,Politics & misinformation,Moderate,Yes
165,Health,Health & substances,"Health, safety & legality",Extreme,Yes
190,Racial,Race & ethnicity,Identity-based harm,Moderate,No
46,"Misinformation,Health",Misinformation,Politics & misinformation,Extreme,Yes
145,"Drugs/alcohol,Health",Health & substances,"Health, safety & legality",Extreme,No
290,Identity,Other identity & bigotry,Identity-based harm,Moderate,Yes
18,Racial,Race & ethnicity,Identity-based harm,Moderate,No
340,Wealth/Finance,Personal & financial,Other,Moderate,Yes
172,Sexual,Violence & sexual content,"Health, safety & legality",Debatable,No
244,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
251,Racial,Race & ethnicity,Identity-based harm,Extreme,No
308,Racial,Race & ethnicity,Identity-based harm,Extreme,No
99,Political,Politics & ideology,Politics & misinformation,Debatable,Yes
140,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,No
255,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
162,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
294,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
158,Miscellaneous,Miscellaneous,Other,Moderate,No
267,Racial,Race & ethnicity,Identity-based harm,Benign,Yes
310,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
325,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
192,Health,Health & substances,"Health, safety & legality",Moderate,No
335,Criminal/carceral,"Crime, law & regulated goods","Health, safety & legality",Extreme,No
341,Sexual,Violence & sexual content,"Health, safety & legality",Moderate,Yes
235,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
58,Political,Politics & ideology,Politics & misinformation,Benign,No
228,"Violent/Gory,Criminal/carceral",Violence & sexual content,"Health, safety & legality",Extreme,No
174,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,No
323,Personal,Personal & financial,Other,Extreme,Yes
337,Sexual,Violence & sexual content,"Health, safety & legality",Moderate,No
159,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Moderate,Yes
125,Environment/climate,Politics & ideology,Politics & misinformation,Moderate,No
342,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
138,Racial,Race & ethnicity,Identity-based harm,Moderate,No
218,Racial,Race & ethnicity,Identity-based harm,Moderate,Yes
287,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
84,Aggressive,Violence & sexual content,"Health, safety & legality",Debatable,No
57,Religious,Other identity & bigotry,Identity-based harm,Extreme,Yes
23,"Racial,Bigoted",Race & ethnicity,Identity-based harm,Extreme,No
343,Health,Health & substances,"Health, safety & legality",Moderate,No
64,"Aggressive,Personal",Violence & sexual content,"Health, safety & legality",Extreme,Yes
143,Racial,Race & ethnicity,Identity-based harm,Extreme,Yes
75,Health,Health & substances,"Health, safety & legality",Extreme,Yes
220,Regulated goods,"Crime, law & regulated goods","Health, safety & legality",Benign,Yes
225,"Violent/Gory,Criminal/carceral",Violence & sexual content,"Health, safety & legality",Extreme,Yes
11,Political,Politics & ideology,Politics & misinformation,Debatable,Yes
208,Racial,Race & ethnicity,Identity-based harm,Extreme,No
6,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,Yes
200,Gendered & Sexist,Gender & sexuality,Identity-based harm,Moderate,Yes
307,Miscellaneous,Miscellaneous,Other,Moderate,Yes
194,Gendered & Sexist,Gender & sexuality,Identity-based harm,Moderate,No
30,Racial,Race & ethnicity,Identity-based harm,Extreme,No
135,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,Yes
291,"Gendered & Sexist,Racial",Gender & sexuality,Identity-based harm,Moderate,Yes
69,LGBTQ+ & Homophobic,Gender & sexuality,Identity-based harm,Extreme,Yes
285,Gendered & Sexist,Gender & sexuality,Identity-based harm,Extreme,No
44,"Abortion,Political",Politics & ideology,Politics & misinformation,Extreme,No
